,Unnamed: 0.1,Unnamed: 0,lin_svr,poly_svr,rbf_svr,lstm,rf
0,0,0,,9709.090060673176,,2894.7005013285234,2573.816162109375
1,1,1,,9727.313169327028,,2946.1778768486424,2639.29931640625
2,2,2,,9745.55955168592,,3046.743829682864,2590.359619140625
3,3,3,,9763.829222283255,,3156.251220180988,2598.067138671875
4,4,4,,9782.122195850114,,3265.092441166428,2764.53564453125
5,5,5,,9800.438487541966,,3371.468496797824,2781.11181640625
6,6,6,,9818.778112210903,,3475.0868811723985,2621.8017578125
